_id,N_DEPARTAMENTO,N_TURNO,N_NIVEL,CANT_BENEF
171,TERCERO ARRIBA,TARDE,SECUNDARIO,351
172,SAN ALBERTO,TARDE,PRIMARIO,661
173,GENERAL ROCA,TARDE,INICIAL,212
174,ISCHILIN,MA헤NA,INICIAL,338
175,RIO SECO,MA헤NA,INICIAL,298
176,PTE. ROQUE SAENZ PE헤,MA헤NA,INICIAL,216
177,TOTORAL,TARDE,INICIAL,148
178,RIO SEGUNDO,MA헤NA,PRIMARIO,1756
179,RIO SEGUNDO,MA헤NA,INICIAL,328
180,UNION,NOCHE,SECUNDARIO,135
181,CRUZ DEL EJE,MA헤NA,SECUNDARIO,1458
182,PTE. ROQUE SAENZ PE헤,TARDE,SECUNDARIO,221
183,ISCHILIN,MA헤NA,SECUNDARIO,623
184,ISCHILIN,PIT,SECUNDARIO,42
185,SAN ALBERTO,MA헤NA,SECUNDARIO,1351
186,RIO CUARTO,PIT,SECUNDARIO,113
187,TULUMBA,TARDE,SECUNDARIO,290
188,GENERAL SAN MARTIN,PIT,SECUNDARIO,31
189,SAN ALBERTO,NOCHE,SECUNDARIO,1
190,TULUMBA,NOCHE,SECUNDARIO,1
